Louis Jadot Pinot Noir;2020, France, Burgundy;€23.95;3.6
1757 Bordeaux 2016;2016, France, Bordeaux;€55.95;3.7
Château de Caraguilhes Cinsault No Added Suplhur;2020, France;€16.95;4.0
Governo IGT;2019, Italy, Toscana;€18.95;3.7
Ferraton Côte-Rotie L'Eglantine;2017/18, France, Rhône;€58.00;4.1
Domaine Begude Pinot Noir Le Cerisier;2020, France, Languedoc-Roussillon;€16.95;3.7
Gérard Bertrand Château de la Grange Fitou;2018/19, France, Languedoc-Roussillon;€16.95;3.8
Rizzardi 3 Cru Amarone;2016, Italy, Valpolicella;€34.95;4.2
Leyda Pinot Noir Las Brisas;2020, Chile, San Antonio;€17.95;3.7
Kendall-Jackson Zinfandel;2018/19, USA;€23.95;3.8
Ortas Côtes-du-Rhône Reserve;2018/19, France, Rhône;€14.95;3.5
Yalumba Organic Shiraz;2019, Australia;€15.95;3.6
Norton Privada Malbec;2018, Argentina, Mendoza;€22.95;3.9
Norton Syrah Reserva;2016, Argentina, Mendoza;€15.95;3.6
Norton Malbec Reserva;2019, Argentina, Mendoza;€16.95;3.6
Symington Altano Tinto DOC;2019, Portugal, Douro Valley;€13.45;4.1
San Felice Brunello di Montalcino Campogiovanni;2016, Italy, Brunello di Montalcino;€47.00;4.2
